Date,Open,High,Low,Close,Adj Close,Volume
12/10/2013,80.511429,81.125717,80.171425,80.792854,72.205704,69567400
12/11/2013,81,81.567146,79.955711,80.194283,71.670746,89929700
12/12/2013,80.305717,80.762856,80.004288,80.077141,71.566086,65572500
12/13/2013,80.407143,80.41143,79.095711,79.204285,70.785973,83205500
12/16/2013,79.288574,80.377144,79.28714,79.64286,71.177933,70648200
12/17/2013,79.401428,79.919998,79.054283,79.284286,70.857491,57475600
12/18/2013,78.528572,78.778572,76.971428,78.681427,70.31871,141465800
12/19/2013,78.5,78.571426,77.675713,77.779999,69.513092,80077200
12/20/2013,77.918571,78.80143,77.831429,78.431427,70.095276,109103400
12/23/2013,81.14286,81.531425,80.394287,81.441429,72.785355,125326600
12/24/2013,81.412857,81.697144,80.861427,81.095711,72.476387,41888700
12/26/2013,81.157143,81.35714,80.482857,80.557144,71.995049,51002000
12/27/2013,80.545715,80.629997,79.928574,80.012856,71.508598,56471100
12/30/2013,79.637146,80.012856,78.902855,79.21714,70.797493,63407400
12/31/2013,79.167145,80.182854,79.14286,80.145714,71.627357,55771100
1/2/2014,79.382858,79.575714,78.860001,79.01857,70.62001,58671200
1/3/2014,78.980003,79.099998,77.204285,77.28286,69.068787,98116900
1/6/2014,76.778572,78.114288,76.228569,77.704285,69.445427,103152700
1/7/2014,77.760002,77.994286,76.845711,77.148575,68.948753,79302300
1/8/2014,76.972855,77.937141,76.955711,77.637146,69.385429,64632400
1/9/2014,78.114288,78.122856,76.478569,76.645714,68.499359,69787200
1/10/2014,77.118568,77.257141,75.872856,76.134285,68.042282,76244000
1/13/2014,75.701431,77.5,75.697144,76.53286,68.398491,94623200
1/14/2014,76.888573,78.104286,76.808571,78.055717,69.759499,83140400
1/15/2014,79.074287,80.028572,78.808571,79.622856,71.16008,97909700
1/16/2014,79.271431,79.550003,78.811432,79.178574,70.763023,57319500
1/17/2014,78.78286,78.867142,77.128571,77.238571,69.02919,106684900
1/21/2014,77.284286,78.581429,77.202858,78.438568,70.101646,82131700
1/22/2014,78.701431,79.612854,78.258568,78.78714,70.413162,94996300
1/23/2014,78.562859,79.5,77.830002,79.454285,71.009415,100809800
1/24/2014,79.14286,79.374283,77.821426,78.010002,69.718643,107338700
1/27/2014,78.581429,79.257141,77.964287,78.64286,70.284225,138719700
1/28/2014,72.68,73.571426,71.724289,72.35714,64.666603,266380800
